gs0-eth0	172.16.6.35
s1-eth1555	None
sat1212-eth6	10.1.136.177
gs0-eth1	10.1.136.178
gs1-eth0	172.16.6.36
s1-eth1556	None
sat953-eth5	10.1.55.33
gs1-eth1	10.1.55.34
gs2-eth0	172.16.6.37
s1-eth1557	None
sat1104-eth6	10.1.102.209
gs2-eth1	10.1.102.210
gs3-eth0	172.16.6.38
s1-eth1558	None
sat1143-eth5	10.1.115.97
gs3-eth1	10.1.115.98
gs4-eth0	172.16.6.39
s1-eth1559	None
sat1490-eth5	10.1.221.145
gs4-eth1	10.1.221.146
gs5-eth0	172.16.6.40
s1-eth1560	None
sat787-eth5	10.1.4.33
gs5-eth1	10.1.4.34
gs6-eth0	172.16.6.41
s1-eth1561	None
sat1153-eth6	10.1.118.113
gs6-eth1	10.1.118.114
gs7-eth0	172.16.6.42
s1-eth1562	None
sat1212-eth7	10.1.136.193
gs7-eth1	10.1.136.194
gs8-eth0	172.16.6.43
s1-eth1563	None
sat702-eth5	10.0.226.161
gs8-eth1	10.0.226.162
gs9-eth0	172.16.6.44
s1-eth1564	None
sat785-eth7	10.1.3.97
gs9-eth1	10.1.3.98
gs10-eth0	172.16.6.45
s1-eth1565	None
sat954-eth6	10.1.55.129
gs10-eth1	10.1.55.130
gs11-eth0	172.16.6.46
s1-eth1566	None
sat874-eth5	10.1.30.161
gs11-eth1	10.1.30.162
gs12-eth0	172.16.6.47
s1-eth1567	None
sat74-eth7	10.0.30.209
gs12-eth1	10.0.30.210
gs13-eth0	172.16.6.48
s1-eth1568	None
sat954-eth7	10.1.55.145
gs13-eth1	10.1.55.146
gs14-eth0	172.16.6.49
s1-eth1569	None
sat748-eth5	10.0.241.129
gs14-eth1	10.0.241.130
gs15-eth0	172.16.6.50
s1-eth1570	None
sat1053-eth5	10.1.86.225
gs15-eth1	10.1.86.226
gs16-eth0	172.16.6.51
s1-eth1571	None
sat1235-eth5	10.1.144.17
gs16-eth1	10.1.144.18
gs17-eth0	172.16.6.52
s1-eth1572	None
sat1033-eth5	10.1.80.113
gs17-eth1	10.1.80.114
gs18-eth0	172.16.6.53
s1-eth1573	None
sat233-eth5	10.0.80.225
gs18-eth1	10.0.80.226
gs19-eth0	172.16.6.54
s1-eth1574	None
sat85-eth6	10.0.34.81
gs19-eth1	10.0.34.82
gs20-eth0	172.16.6.55
s1-eth1575	None
sat619-eth5	10.0.201.81
gs20-eth1	10.0.201.82
gs21-eth0	172.16.6.56
s1-eth1576	None
sat1038-eth5	10.1.82.17
gs21-eth1	10.1.82.18
gs22-eth0	172.16.6.57
s1-eth1577	None
sat1340-eth5	10.1.176.1
gs22-eth1	10.1.176.2
gs23-eth0	172.16.6.58
s1-eth1578	None
sat1153-eth7	10.1.118.129
gs23-eth1	10.1.118.130
gs24-eth0	172.16.6.59
s1-eth1579	None
sat723-eth6	10.0.233.97
gs24-eth1	10.0.233.98
gs25-eth0	172.16.6.60
s1-eth1580	None
sat1022-eth6	10.1.77.17
gs25-eth1	10.1.77.18
gs26-eth0	172.16.6.61
s1-eth1581	None
sat925-eth5	10.1.46.49
gs26-eth1	10.1.46.50
gs27-eth0	172.16.6.62
s1-eth1582	None
sat940-eth5	10.1.51.17
gs27-eth1	10.1.51.18
gs28-eth0	172.16.6.63
s1-eth1583	None
sat1526-eth5	10.1.233.65
gs28-eth1	10.1.233.66
gs29-eth0	172.16.6.64
s1-eth1584	None
sat100-eth5	10.0.39.81
gs29-eth1	10.0.39.82
gs30-eth0	172.16.6.65
s1-eth1585	None
sat898-eth5	10.1.37.209
gs30-eth1	10.1.37.210
gs31-eth0	172.16.6.66
s1-eth1586	None
sat111-eth7	10.0.42.209
gs31-eth1	10.0.42.210
gs32-eth0	172.16.6.67
s1-eth1587	None
sat936-eth5	10.1.49.193
gs32-eth1	10.1.49.194
