gs54-eth1	10.0.224.130
gs55-eth0	172.16.6.100
s1-eth1620	None
sat1288-eth5	10.1.134.33
gs55-eth1	10.1.134.34
gs56-eth0	172.16.6.101
s1-eth1621	None
sat40-eth5	10.0.18.113
gs56-eth1	10.0.18.114
gs57-eth0	172.16.6.102
s1-eth1622	None
sat495-eth5	10.0.150.1
gs57-eth1	10.0.150.2
gs58-eth0	172.16.6.103
s1-eth1623	None
sat1205-eth6	10.1.109.113
gs58-eth1	10.1.109.114
gs59-eth0	172.16.6.104
s1-eth1624	None
sat1497-eth5	10.1.196.33
gs59-eth1	10.1.196.34
gs60-eth0	172.16.6.105
s1-eth1625	None
sat1417-eth5	10.1.172.65
gs60-eth1	10.1.172.66
gs61-eth0	172.16.6.106
s1-eth1626	None
sat572-eth6	10.0.172.81
gs61-eth1	10.0.172.82
gs62-eth0	172.16.6.107
s1-eth1627	None
sat1418-eth5	10.1.172.145
gs62-eth1	10.1.172.146
gs63-eth0	172.16.6.108
s1-eth1628	None
sat606-eth6	10.0.182.97
gs63-eth1	10.0.182.98
gs64-eth0	172.16.6.109
s1-eth1629	None
sat444-eth5	10.0.134.161
gs64-eth1	10.0.134.162
gs65-eth0	172.16.6.110
s1-eth1630	None
sat855-eth5	10.1.6.49
gs65-eth1	10.1.6.50
gs66-eth0	172.16.6.111
s1-eth1631	None
sat1050-eth5	10.1.63.145
gs66-eth1	10.1.63.146
gs67-eth0	172.16.6.112
s1-eth1632	None
sat1363-eth6	10.1.156.17
gs67-eth1	10.1.156.18
gs68-eth0	172.16.6.113
s1-eth1633	None
sat1320-eth5	10.1.143.129
gs68-eth1	10.1.143.130
gs69-eth0	172.16.6.114
s1-eth1634	None
sat368-eth5	10.0.112.65
gs69-eth1	10.0.112.66
gs70-eth0	172.16.6.115
s1-eth1635	None
sat1493-eth5	10.1.194.225
gs70-eth1	10.1.194.226
gs71-eth0	172.16.6.116
s1-eth1636	None
sat366-eth5	10.0.111.161
gs71-eth1	10.0.111.162
gs72-eth0	172.16.6.117
s1-eth1637	None
sat1166-eth6	10.1.97.193
gs72-eth1	10.1.97.194
gs73-eth0	172.16.6.118
s1-eth1638	None
sat699-eth6	10.0.210.49
gs73-eth1	10.0.210.50
gs74-eth0	172.16.6.119
s1-eth1639	None
sat444-eth6	10.0.134.177
gs74-eth1	10.0.134.178
gs75-eth0	172.16.6.120
s1-eth1640	None
sat160-eth5	10.0.52.113
gs75-eth1	10.0.52.114
gs76-eth0	172.16.6.121
s1-eth1641	None
sat429-eth5	10.0.130.65
gs76-eth1	10.0.130.66
gs77-eth0	172.16.6.122
s1-eth1642	None
sat1291-eth6	10.1.135.33
gs77-eth1	10.1.135.34
gs78-eth0	172.16.6.123
s1-eth1643	None
sat963-eth6	10.1.38.33
gs78-eth1	10.1.38.34
gs79-eth0	172.16.6.124
s1-eth1644	None
sat919-eth6	10.1.25.49
gs79-eth1	10.1.25.50
gs80-eth0	172.16.6.125
s1-eth1645	None
sat1115-eth5	10.1.82.129
gs80-eth1	10.1.82.130
gs81-eth0	172.16.6.126
s1-eth1646	None
sat1363-eth7	10.1.156.33
gs81-eth1	10.1.156.34
gs82-eth0	172.16.6.127
s1-eth1647	None
sat632-eth7	10.0.190.17
gs82-eth1	10.0.190.18
gs83-eth0	172.16.6.128
s1-eth1648	None
sat1411-eth8	10.1.170.145
gs83-eth1	10.1.170.146
gs84-eth0	172.16.6.129
s1-eth1649	None
sat152-eth5	10.0.50.33
gs84-eth1	10.0.50.34
gs85-eth0	172.16.6.130
s1-eth1650	None
sat1333-eth6	10.1.147.81
gs85-eth1	10.1.147.82
gs86-eth0	172.16.6.131
s1-eth1651	None
sat764-eth6	10.0.229.177
gs86-eth1	10.0.229.178
gs87-eth0	172.16.6.132
s1-eth1652	None
sat811-eth7	10.0.243.129
gs87-eth1	10.0.243.130
gs88-eth0	172.16.6.133
s1-eth1653	None
sat427-eth5	10.0.129.129
gs88-eth1	10.0.129.130
gs89-eth0	172.16.6.134
s1-eth1654	None
