Sun 13 Mar 16:24:53 GMT 2022
PING 10.0.172.146 (10.0.172.146) 56(84) bytes of data.
64 bytes from 10.0.172.146: icmp_seq=85 ttl=51 time=96.8 ms
64 bytes from 10.0.172.146: icmp_seq=86 ttl=51 time=102 ms
64 bytes from 10.0.172.146: icmp_seq=87 ttl=51 time=101 ms
64 bytes from 10.0.172.146: icmp_seq=88 ttl=51 time=96.9 ms
64 bytes from 10.0.172.146: icmp_seq=89 ttl=51 time=96.9 ms
64 bytes from 10.0.172.146: icmp_seq=90 ttl=51 time=98.0 ms
64 bytes from 10.0.172.146: icmp_seq=91 ttl=51 time=100 ms
64 bytes from 10.0.172.146: icmp_seq=92 ttl=51 time=109 ms
64 bytes from 10.0.172.146: icmp_seq=93 ttl=51 time=361 ms
64 bytes from 10.0.172.146: icmp_seq=94 ttl=51 time=108 ms
64 bytes from 10.0.172.146: icmp_seq=95 ttl=51 time=110 ms
64 bytes from 10.0.172.146: icmp_seq=96 ttl=51 time=490 ms
64 bytes from 10.0.172.146: icmp_seq=97 ttl=51 time=128 ms
64 bytes from 10.0.172.146: icmp_seq=98 ttl=51 time=112 ms
64 bytes from 10.0.172.146: icmp_seq=99 ttl=51 time=122 ms
64 bytes from 10.0.172.146: icmp_seq=100 ttl=51 time=102 ms
64 bytes from 10.0.172.146: icmp_seq=101 ttl=51 time=114 ms
64 bytes from 10.0.172.146: icmp_seq=102 ttl=51 time=263 ms
64 bytes from 10.0.172.146: icmp_seq=103 ttl=51 time=151 ms
64 bytes from 10.0.172.146: icmp_seq=104 ttl=51 time=261 ms
64 bytes from 10.0.172.146: icmp_seq=105 ttl=51 time=115 ms
64 bytes from 10.0.172.146: icmp_seq=106 ttl=51 time=100 ms
64 bytes from 10.0.172.146: icmp_seq=107 ttl=51 time=111 ms
64 bytes from 10.0.172.146: icmp_seq=108 ttl=51 time=119 ms
64 bytes from 10.0.172.146: icmp_seq=109 ttl=51 time=101 ms
64 bytes from 10.0.172.146: icmp_seq=110 ttl=51 time=110 ms
64 bytes from 10.0.172.146: icmp_seq=111 ttl=51 time=242 ms
64 bytes from 10.0.172.146: icmp_seq=112 ttl=51 time=96.7 ms
64 bytes from 10.0.172.146: icmp_seq=113 ttl=51 time=97.5 ms
64 bytes from 10.0.172.146: icmp_seq=114 ttl=51 time=101 ms
64 bytes from 10.0.172.146: icmp_seq=115 ttl=51 time=115 ms
64 bytes from 10.0.172.146: icmp_seq=116 ttl=51 time=103 ms
64 bytes from 10.0.172.146: icmp_seq=117 ttl=51 time=99.1 ms
64 bytes from 10.0.172.146: icmp_seq=118 ttl=51 time=160 ms
