772, 742, 727, 717, 688, 658, 637, 628, 598, 580, 562, 535, 518, 502, 479, 457, 433, 415, 389, 357, 348, 306, 290, 275, 250, 229, 214, 184, 176, 141, 111, 109, 85, 52, 26, 0
772, 742, 727, 717, 688, 658, 637, 628, 598, 580, 562, 535, 518, 502, 479, 457, 433, 415, 389, 357, 348, 306, 290, 275, 250, 229, 214, 184, 176, 141, 111, 109, 85, 52, 26, 1
772, 742, 727, 717, 688, 658, 637, 628, 598, 580, 562, 535, 518, 502, 479, 457, 433, 415, 389, 357, 348, 306, 290, 275, 250, 229, 214, 184, 176, 141, 111, 109, 85, 52, 26, 2
772, 742, 727, 717, 688, 658, 637, 628, 598, 580, 562, 535, 518, 502, 479, 457, 433, 415, 389, 357, 348, 306, 289, 276, 248, 228, 213, 183, 175, 140, 112, 89, 86, 51, 25, 3
772, 742, 728, 716, 689, 659, 638, 627, 597, 579, 563, 534, 519, 504, 477, 458, 434, 414, 387, 358, 347, 307, 288, 277, 247, 227, 212, 182, 173, 139, 114, 90, 87, 50, 24, 4
772, 742, 728, 716, 689, 659, 638, 627, 597, 579, 563, 534, 519, 504, 477, 458, 434, 414, 387, 358, 347, 307, 288, 277, 247, 227, 212, 181, 172, 137, 115, 91, 88, 49, 22, 5
772, 742, 728, 716, 689, 659, 638, 627, 597, 579, 563, 534, 519, 504, 477, 458, 434, 414, 387, 358, 347, 307, 288, 277, 247, 227, 212, 181, 172, 136, 116, 92, 69, 48, 45, 6
772, 742, 728, 716, 689, 659, 638, 627, 597, 579, 563, 534, 519, 504, 477, 458, 434, 414, 387, 358, 347, 307, 288, 277, 247, 227, 212, 181, 172, 136, 116, 92, 69, 48, 44, 7
772, 742, 728, 716, 689, 659, 638, 627, 597, 579, 563, 534, 519, 504, 477, 458, 434, 414, 387, 358, 347, 307, 288, 277, 247, 227, 212, 181, 172, 136, 116, 92, 69, 48, 44, 8
772, 742, 728, 716, 689, 659, 638, 627, 597, 579, 563, 534, 519, 504, 477, 458, 434, 414, 387, 358, 347, 307, 288, 277, 247, 227, 212, 181, 172, 136, 116, 92, 69, 48, 44, 8, 9
