gs0-eth0	172.16.6.35
s1-eth1555	None
sat497-eth6	10.0.162.193
gs0-eth1	10.0.162.194
gs1-eth0	172.16.6.36
s1-eth1556	None
sat289-eth7	10.0.96.1
gs1-eth1	10.0.96.2
gs2-eth0	172.16.6.37
s1-eth1557	None
sat452-eth5	10.0.147.193
gs2-eth1	10.0.147.194
gs3-eth0	172.16.6.38
s1-eth1558	None
sat1503-eth7	10.1.219.81
gs3-eth1	10.1.219.82
gs4-eth0	172.16.6.39
s1-eth1559	None
sat1206-eth5	10.1.128.225
gs4-eth1	10.1.128.226
gs5-eth0	172.16.6.40
s1-eth1560	None
sat1123-eth7	10.1.103.225
gs5-eth1	10.1.103.226
gs6-eth0	172.16.6.41
s1-eth1561	None
sat1493-eth8	10.1.216.1
gs6-eth1	10.1.216.2
gs7-eth0	172.16.6.42
s1-eth1562	None
sat515-eth5	10.0.168.81
gs7-eth1	10.0.168.82
gs8-eth0	172.16.6.43
s1-eth1563	None
sat1086-eth6	10.1.92.97
gs8-eth1	10.1.92.98
gs9-eth0	172.16.6.44
s1-eth1564	None
sat675-eth5	10.0.216.161
gs9-eth1	10.0.216.162
gs10-eth0	172.16.6.45
s1-eth1565	None
sat1299-eth5	10.1.157.97
gs10-eth1	10.1.157.98
gs11-eth0	172.16.6.46
s1-eth1566	None
sat267-eth5	10.0.89.17
gs11-eth1	10.0.89.18
gs12-eth0	172.16.6.47
s1-eth1567	None
sat440-eth5	10.0.143.177
gs12-eth1	10.0.143.178
gs13-eth0	172.16.6.48
s1-eth1568	None
sat1299-eth6	10.1.157.113
gs13-eth1	10.1.157.114
gs14-eth0	172.16.6.49
s1-eth1569	None
sat1118-eth5	10.1.102.17
gs14-eth1	10.1.102.18
gs15-eth0	172.16.6.50
s1-eth1570	None
sat393-eth5	10.0.128.161
gs15-eth1	10.0.128.162
gs16-eth0	172.16.6.51
s1-eth1571	None
sat881-eth6	10.1.30.1
gs16-eth1	10.1.30.2
gs17-eth0	172.16.6.52
s1-eth1572	None
sat1403-eth6	10.1.188.33
gs17-eth1	10.1.188.34
gs18-eth0	172.16.6.53
s1-eth1573	None
sat1524-eth5	10.1.225.177
gs18-eth1	10.1.225.178
gs19-eth0	172.16.6.54
s1-eth1574	None
sat470-eth8	10.0.153.145
gs19-eth1	10.0.153.146
gs20-eth0	172.16.6.55
s1-eth1575	None
sat948-eth5	10.1.49.193
gs20-eth1	10.1.49.194
gs21-eth0	172.16.6.56
s1-eth1576	None
sat1312-eth5	10.1.161.129
gs21-eth1	10.1.161.130
gs22-eth0	172.16.6.57
s1-eth1577	None
sat124-eth5	10.0.45.97
gs22-eth1	10.0.45.98
gs23-eth0	172.16.6.58
s1-eth1578	None
sat1493-eth9	10.1.216.17
gs23-eth1	10.1.216.18
gs24-eth0	172.16.6.59
s1-eth1579	None
sat1119-eth6	10.1.102.113
gs24-eth1	10.1.102.114
gs25-eth0	172.16.6.60
s1-eth1580	None
sat470-eth9	10.0.153.161
gs25-eth1	10.0.153.162
gs26-eth0	172.16.6.61
s1-eth1581	None
sat1280-eth6	10.1.151.145
gs26-eth1	10.1.151.146
gs27-eth0	172.16.6.62
s1-eth1582	None
sat1154-eth5	10.1.113.81
gs27-eth1	10.1.113.82
gs28-eth0	172.16.6.63
s1-eth1583	None
sat367-eth6	10.0.120.65
gs28-eth1	10.0.120.66
gs29-eth0	172.16.6.64
s1-eth1584	None
sat461-eth5	10.0.150.161
gs29-eth1	10.0.150.162
gs30-eth0	172.16.6.65
s1-eth1585	None
sat367-eth7	10.0.120.81
gs30-eth1	10.0.120.82
gs31-eth0	172.16.6.66
s1-eth1586	None
sat1541-eth6	10.1.231.17
gs31-eth1	10.1.231.18
gs32-eth0	172.16.6.67
s1-eth1587	None
sat1290-eth5	10.1.154.193
gs32-eth1	10.1.154.194
gs33-eth0	172.16.6.68
s1-eth1588	None
sat515-eth6	10.0.168.97
gs33-eth1	10.0.168.98
gs34-eth0	172.16.6.69
s1-eth1589	None
sat270-eth7	10.0.90.33
gs34-eth1	10.0.90.34
gs35-eth0	172.16.6.70
s1-eth1590	None
sat449-eth5	10.0.146.193
gs35-eth1	10.0.146.194
gs36-eth0	172.16.6.71
s1-eth1591	None
sat341-eth5	10.0.111.225
gs36-eth1	10.0.111.226
gs37-eth0	172.16.6.72
s1-eth1592	None
sat1052-eth5	10.1.81.177
gs37-eth1	10.1.81.178
gs38-eth0	172.16.6.73
s1-eth1593	None
sat266-eth5	10.0.88.177
gs38-eth1	10.0.88.178
gs39-eth0	172.16.6.74
s1-eth1594	None
sat1241-eth6	10.1.139.225
gs39-eth1	10.1.139.226
gs40-eth0	172.16.6.75
s1-eth1595	None
sat451-eth5	10.0.147.113
