sat829-eth5	10.1.25.81
gs54-eth1	10.1.25.82
gs55-eth0	172.16.6.78
s1-eth1598	None
sat244-eth5	10.0.87.49
gs55-eth1	10.0.87.50
gs56-eth0	172.16.6.79
s1-eth1599	None
sat931-eth6	10.1.59.65
gs56-eth1	10.1.59.66
gs57-eth0	172.16.6.80
s1-eth1600	None
sat988-eth5	10.1.77.209
gs57-eth1	10.1.77.210
gs58-eth0	172.16.6.81
s1-eth1601	None
sat1034-eth7	10.1.93.177
gs58-eth1	10.1.93.178
gs59-eth0	172.16.6.82
s1-eth1602	None
sat403-eth6	10.0.138.113
gs59-eth1	10.0.138.114
gs60-eth0	172.16.6.83
s1-eth1603	None
sat352-eth6	10.0.122.209
gs60-eth1	10.0.122.210
gs61-eth0	172.16.6.84
s1-eth1604	None
sat1034-eth8	10.1.93.193
gs61-eth1	10.1.93.194
gs62-eth0	172.16.6.85
s1-eth1605	None
sat352-eth7	10.0.122.225
gs62-eth1	10.0.122.226
gs63-eth0	172.16.6.86
s1-eth1606	None
sat333-eth5	10.0.116.209
gs63-eth1	10.0.116.210
gs64-eth0	172.16.6.87
s1-eth1607	None
sat931-eth7	10.1.59.81
gs64-eth1	10.1.59.82
gs65-eth0	172.16.6.88
s1-eth1608	None
sat330-eth6	10.0.116.1
gs65-eth1	10.0.116.2
gs66-eth0	172.16.6.89
s1-eth1609	None
sat1527-eth5	10.2.2.193
gs66-eth1	10.2.2.194
gs67-eth0	172.16.6.90
s1-eth1610	None
sat1303-eth11	10.1.181.81
gs67-eth1	10.1.181.82
gs68-eth0	172.16.6.91
s1-eth1611	None
sat206-eth5	10.0.74.145
gs68-eth1	10.0.74.146
gs69-eth0	172.16.6.92
s1-eth1612	None
sat1252-eth6	10.1.164.145
gs69-eth1	10.1.164.146
gs70-eth0	172.16.6.93
s1-eth1613	None
sat929-eth6	10.1.58.145
gs70-eth1	10.1.58.146
gs71-eth0	172.16.6.94
s1-eth1614	None
sat832-eth6	10.1.26.65
gs71-eth1	10.1.26.66
gs72-eth0	172.16.6.95
s1-eth1615	None
sat92-eth5	10.0.36.129
gs72-eth1	10.0.36.130
gs73-eth0	172.16.6.96
s1-eth1616	None
sat1192-eth5	10.1.145.81
gs73-eth1	10.1.145.82
gs74-eth0	172.16.6.97
s1-eth1617	None
sat931-eth8	10.1.59.97
gs74-eth1	10.1.59.98
gs75-eth0	172.16.6.98
s1-eth1618	None
sat1416-eth5	10.1.218.17
gs75-eth1	10.1.218.18
gs76-eth0	172.16.6.99
s1-eth1619	None
sat281-eth5	10.0.99.193
gs76-eth1	10.0.99.194
gs77-eth0	172.16.6.100
s1-eth1620	None
sat274-eth7	10.0.97.97
gs77-eth1	10.0.97.98
gs78-eth0	172.16.6.101
s1-eth1621	None
sat895-eth7	10.1.47.97
gs78-eth1	10.1.47.98
gs79-eth0	172.16.6.102
s1-eth1622	None
sat978-eth11	10.1.74.193
gs79-eth1	10.1.74.194
gs80-eth0	172.16.6.103
s1-eth1623	None
sat48-eth5	10.0.22.17
gs80-eth1	10.0.22.18
gs81-eth0	172.16.6.104
s1-eth1624	None
sat1303-eth12	10.1.181.97
gs81-eth1	10.1.181.98
gs82-eth0	172.16.6.105
s1-eth1625	None
sat242-eth6	10.0.86.129
gs82-eth1	10.0.86.130
