gs0-eth0	172.16.6.35
s1-eth1555	None
sat1277-eth5	10.1.149.17
gs0-eth1	10.1.149.18
gs1-eth0	172.16.6.36
s1-eth1556	None
sat972-eth5	10.1.55.81
gs1-eth1	10.1.55.82
gs2-eth0	172.16.6.37
s1-eth1557	None
sat1153-eth6	10.1.110.225
gs2-eth1	10.1.110.226
gs3-eth0	172.16.6.38
s1-eth1558	None
sat1173-eth5	10.1.117.17
gs3-eth1	10.1.117.18
gs4-eth0	172.16.6.39
s1-eth1559	None
sat1516-eth5	10.1.220.81
gs4-eth1	10.1.220.82
gs5-eth0	172.16.6.40
s1-eth1560	None
sat799-eth5	10.1.2.49
gs5-eth1	10.1.2.50
gs6-eth0	172.16.6.41
s1-eth1561	None
sat1187-eth6	10.1.121.97
gs6-eth1	10.1.121.98
gs7-eth0	172.16.6.42
s1-eth1562	None
sat1222-eth5	10.1.132.81
gs7-eth1	10.1.132.82
gs8-eth0	172.16.6.43
s1-eth1563	None
sat739-eth5	10.0.233.81
gs8-eth1	10.0.233.82
gs9-eth0	172.16.6.44
s1-eth1564	None
sat795-eth5	10.1.0.193
gs9-eth1	10.1.0.194
gs10-eth0	172.16.6.45
s1-eth1565	None
sat42-eth6	10.0.19.145
gs10-eth1	10.0.19.146
gs11-eth0	172.16.6.46
s1-eth1566	None
sat922-eth7	10.1.40.33
gs11-eth1	10.1.40.34
gs12-eth0	172.16.6.47
s1-eth1567	None
sat1199-eth5	10.1.125.81
gs12-eth1	10.1.125.82
gs13-eth0	172.16.6.48
s1-eth1568	None
sat40-eth5	10.0.18.225
gs13-eth1	10.0.18.226
gs14-eth0	172.16.6.49
s1-eth1569	None
sat790-eth5	10.0.249.17
gs14-eth1	10.0.249.18
gs15-eth0	172.16.6.50
s1-eth1570	None
sat1083-eth5	10.1.89.81
gs15-eth1	10.1.89.82
gs16-eth0	172.16.6.51
s1-eth1571	None
sat1300-eth5	10.1.155.225
gs16-eth1	10.1.155.226
gs17-eth0	172.16.6.52
s1-eth1572	None
sat203-eth6	10.0.70.177
gs17-eth1	10.0.70.178
gs18-eth0	172.16.6.53
s1-eth1573	None
sat1200-eth5	10.1.125.161
gs18-eth1	10.1.125.162
gs19-eth0	172.16.6.54
s1-eth1574	None
sat138-eth7	10.0.50.33
gs19-eth1	10.0.50.34
gs20-eth0	172.16.6.55
s1-eth1575	None
sat125-eth7	10.0.46.1
gs20-eth1	10.0.46.2
gs21-eth0	172.16.6.56
s1-eth1576	None
sat1068-eth5	10.1.84.209
gs21-eth1	10.1.84.210
gs22-eth0	172.16.6.57
s1-eth1577	None
sat1374-eth5	10.1.178.33
gs22-eth1	10.1.178.34
gs23-eth0	172.16.6.58
s1-eth1578	None
sat1187-eth7	10.1.121.113
gs23-eth1	10.1.121.114
gs24-eth0	172.16.6.59
s1-eth1579	None
sat1088-eth5	10.1.91.1
gs24-eth1	10.1.91.2
gs25-eth0	172.16.6.60
s1-eth1580	None
sat138-eth8	10.0.50.49
gs25-eth1	10.0.50.50
gs26-eth0	172.16.6.61
s1-eth1581	None
sat224-eth6	10.0.76.225
gs26-eth1	10.0.76.226
gs27-eth0	172.16.6.62
s1-eth1582	None
sat844-eth6	10.1.16.33
gs27-eth1	10.1.16.34
gs28-eth0	172.16.6.63
s1-eth1583	None
sat921-eth6	10.1.39.161
gs28-eth1	10.1.39.162
gs29-eth0	172.16.6.64
s1-eth1584	None
sat1044-eth5	10.1.77.129
gs29-eth1	10.1.77.130
gs30-eth0	172.16.6.65
s1-eth1585	None
sat43-eth6	10.0.20.17
gs30-eth1	10.0.20.18
gs31-eth0	172.16.6.66
s1-eth1586	None
sat137-eth5	10.0.49.161
gs31-eth1	10.0.49.162
gs32-eth0	172.16.6.67
s1-eth1587	None
sat956-eth5	10.1.50.129
gs32-eth1	10.1.50.130
gs33-eth0	172.16.6.68
s1-eth1588	None
sat202-eth5	10.0.70.81
gs33-eth1	10.0.70.82
gs34-eth0	172.16.6.69
s1-eth1589	None
sat545-eth6	10.0.175.225
