0,1,4.42,500.0
0,36,4.42,500.0
0,51,9.31,500.0
0,52,10.13,500.0
0,423,48.1,500.0
1,0,4.42,500.0
1,2,4.35,500.0
1,50,7.57,500.0
1,51,8.51,500.0
1,423,46.55,500.0
2,1,4.35,500.0
2,3,4.45,500.0
2,49,5.68,500.0
2,50,6.66,500.0
2,423,44.67,500.0
3,2,4.45,500.0
3,4,4.38,500.0
3,48,3.74,500.0
3,49,4.7,500.0
3,423,42.4,500.0
4,3,4.38,500.0
4,5,4.45,500.0
4,47,2.31,500.0
4,48,2.86,500.0
4,423,39.85,500.0
5,4,4.45,500.0
5,6,4.38,500.0
5,46,2.56,500.0
5,47,2.17,500.0
6,5,4.38,500.0
6,7,4.4,500.0
6,45,4.29,500.0
6,46,3.41,500.0
7,6,4.4,500.0
7,8,2.18,500.0
7,44,6.28,500.0
7,45,5.3,500.0
8,7,2.18,500.0
8,9,2.25,500.0
8,43,7.48,500.0
8,44,6.41,500.0
9,8,2.25,500.0
9,10,4.37,500.0
9,42,8.12,500.0
9,44,7.23,500.0
10,9,4.37,500.0
10,11,4.42,500.0
10,41,9.8,500.0
10,42,8.99,500.0
11,10,4.42,500.0
11,12,4.44,500.0
11,40,11.22,500.0
11,41,10.53,500.0
12,11,4.44,500.0
12,13,4.41,500.0
12,39,12.33,500.0
12,40,11.81,500.0
12,434,4.41,98.52
12,437,4.86,95.68
13,12,4.41,500.0
13,14,4.41,500.0
13,38,13.03,500.0
13,39,12.73,500.0
14,13,4.41,500.0
14,15,4.42,500.0
14,37,13.35,500.0
14,38,13.22,500.0
15,14,4.42,500.0
15,16,4.4,500.0
15,75,13.28,500.0
15,423,2.75,500.0
16,15,4.4,500.0
16,17,4.35,500.0
16,74,12.79,500.0
16,75,13.09,500.0
17,16,4.35,500.0
17,18,4.46,500.0
17,73,12.03,500.0
17,74,12.45,500.0
18,17,4.46,500.0
18,19,4.4,500.0
18,72,10.79,500.0
18,73,11.44,500.0
19,18,4.4,500.0
19,20,4.38,500.0
19,71,9.31,500.0
19,72,10.08,500.0
20,19,4.38,500.0
20,21,4.41,500.0
20,70,7.58,500.0
20,71,8.58,500.0
21,20,4.41,500.0
21,22,4.4,500.0
21,69,5.65,500.0
21,70,6.64,500.0
22,21,4.4,500.0
22,23,4.4,500.0
22,68,3.71,500.0
22,69,4.69,500.0
23,22,4.4,500.0
23,24,4.41,500.0
23,67,2.25,500.0
23,68,2.9,500.0
24,23,4.41,500.0
24,25,4.39,500.0
24,66,2.56,500.0
24,67,2.19,500.0
25,24,4.39,500.0
25,26,4.4,500.0
25,65,4.27,500.0
25,66,3.42,500.0
26,25,4.4,500.0
26,27,4.4,500.0
26,64,6.27,500.0
26,65,5.3,500.0
27,26,4.4,500.0
27,28,4.38,500.0
27,63,8.12,500.0
27,64,7.24,500.0
28,27,4.38,500.0
28,29,4.4,500.0
28,62,9.8,500.0
28,63,8.98,500.0
29,28,4.4,500.0
29,30,4.43,500.0
29,61,11.21,500.0
29,62,10.55,500.0
30,29,4.43,500.0
30,31,4.43,500.0
30,60,12.29,500.0
30,61,11.79,500.0
31,30,4.43,500.0
31,32,4.37,500.0
31,59,12.96,500.0
31,60,12.69,500.0
32,31,4.37,500.0
32,33,4.41,500.0
32,58,13.37,500.0
32,59,13.21,500.0
33,32,4.41,500.0
33,34,4.41,500.0
33,57,13.3,500.0
34,33,4.41,500.0
34,35,4.41,500.0
34,56,12.82,500.0
34,57,13.12,500.0
35,34,4.41,500.0
35,36,4.42,500.0
35,54,12.01,500.0
35,55,12.5,500.0
36,0,4.42,500.0
36,35,4.42,500.0
36,52,10.82,500.0
36,53,10.92,500.0
36,54,11.46,500.0
37,14,13.35,500.0
37,38,4.37,500.0
37,75,4.43,500.0
37,76,23.84,500.0
37,83,9.34,500.0
38,13,13.03,500.0
38,14,13.22,500.0
38,37,4.37,500.0
38,39,4.42,500.0
38,84,9.96,500.0
38,441,4.55,277.5
39,12,12.33,500.0
39,13,12.73,500.0
39,38,4.42,500.0
39,40,4.44,500.0
39,84,7.84,500.0
39,456,5.12,115.56
40,11,11.22,500.0
40,12,11.81,500.0
40,39,4.44,500.0
40,41,4.38,500.0
40,84,7.71,500.0
40,426,4.21,173.8
41,10,9.8,500.0
41,11,10.53,500.0
41,40,4.38,500.0
41,42,4.46,500.0
41,84,9.61,500.0
41,430,4.9,194.92
41,447,4.8,194.09
41,454,5.05,173.68
42,9,8.12,500.0
42,10,8.99,500.0
42,41,4.46,500.0
42,43,1.72,500.0
