45	65
60	53, 85
99	16
131	8, 78
185	49
211	22, 66
213	71
311	11
314	72
359	1
384	36
428	10, 13, 82
436	55
447	50
467	68
483	12
520	46
521	2, 43, 51, 67
522	31
527	92
529	5
540	97
548	0, 7, 33
566	62
594	3
599	60
608	17
653	18
663	59
669	70
711	98
781	88
800	94
897	84
905	75
930	34
1028	20
1034	54
1050	96
1101	69
1105	37
1127	91
1140	83
1143	9, 56
1153	64
1154	76
1180	74
1186	52
1189	14, 79
1244	57
1248	4, 58
1249	39
1276	28, 30
1277	61
1278	44
1314	27
1317	80
1318	38
1319	48, 63
1341	77
1343	26
1348	89
1356	32
1367	35
1383	29
1410	99
1414	21, 73
1415	24
1440	15, 41
1476	25, 45, 86, 95
1477	19, 42, 47
1493	90
1503	40
1524	87
1537	6, 23, 81, 93
0	21
6	69
22	17
24	55
31	86
73	81
84	3, 18, 59
91	6, 23, 85
121	7, 33
145	53
163	75
178	79
197	68
218	16
220	78
232	8
262	39
289	52
308	22
374	80
388	72
403	11
424	4
471	28
472	10
490	13
507	30
516	50
527	87
543	93
544	99
567	40, 43, 51, 67
576	12
587	29
599	31
600	19, 42, 47
601	35
617	65
618	2
619	25, 45, 95
634	5, 76
635	83
659	48, 63
661	62
682	32, 97
699	0
719	90
762	37
768	98
807	74
854	88
990	66
993	34
999	84
1100	20
1114	54
1133	96
1163	71
1177	92
1188	60
1202	91
1206	94
1225	70
1226	56
1229	9, 64
1266	24
1273	14
1290	49
1296	57
1372	44, 58, 61
1396	1, 38
1397	36
1402	26
1409	27
1430	77, 82
1448	46
1454	89
1525	73
1533	15, 41
25	16
42	78
57	8
102	66
107	39
132	91
223	80
254	34
287	1, 38
288	4, 61
305	36, 58
348	30
349	10, 13
362	68
364	82
382	99
405	15
415	12
426	2, 40, 43, 51, 67
427	35
440	46
446	92
447	76
467	86
476	83
484	32
492	0, 7, 33
494	63
531	57
534	3, 18, 59
540	97
543	70
579	90
820	84
852	22
943	54
946	72
967	96
979	20
1008	94
1013	71
1029	24
1033	37
1035	60
1061	62
1063	56
1086	5
1088	9, 64, 74, 88
1092	52
1111	79
1129	49
1144	27
1172	11
1193	28
1226	44
1233	48
1234	26
1255	29
1266	77
1278	89
1320	21
1335	41
1342	73
1367	19, 25, 42, 45, 47, 95
1368	17
1387	50
1409	55
1421	98
1435	87
1438	69
1441	6, 23
1442	81, 93
1479	31
1480	65
1502	53
1503	85
1520	14
1542	75
